가수명,노래제목,발매일,가사,좋아요수,감정
에일리(Ailee),Higher (Feat. 이루마),2013-09-16, 누군가 나에게 절대로 하지 말라고 그래도 난 기어코 하고 말거야 그 누가 뭐라해도 아무것도 들리지 않아 모든 걸 내 뜻에 날 맡길거야 Going higher 날 막을 수는 없어 내가 가는 이 길에 더이상 두려움은 없어 Going higher 내가 바라던 순간 눈부시게 빛나는 또 다른 나를 보게 될거야 내가 넘을 수 없는 큰 벽이 있을지라도 뛰어 넘을 수 있어 할 수 있어 그 어떤 시련이 와도 절대 난 흔들리지 않아 이겨 낼 수 있어 난 문제없어 내 가슴속에 숨쉬는 타오르는 열정이 날 데려가 저 멀리 더 높은 곳으로 Going higher 날 막을 수는 없어 내가 가는 이 길에 더이상 두려움은 없어 Going higher 내가 바라던 순간 눈부시게 빛나는 또 다른 나를 보게 될거야 Find a way to my heart Going higher 날 막을 수는 없어 내가 가는 이 길에 더이상 두려움은 없어 Going higher 내가 바라던 순간 눈부시게 빛나는 또 다른 나를 보게 될거야 Going higher 날 막을 수는 없어 내가 가는 이 길에 더이상 두려움은 없어 Going higher 내가 바라던 순간 눈부시게 빛나는 또 다른 나를 보게 될거야  ,46348,indifference
문성욱,밤,2020-05-02, 자그만 손에 꼭 잡고 사라질까 감추던 어두운 밤 내 꿈에 담긴 작은 널 닮은 별 하나 한참을 서성이던 어린 날 보며 미소 짓던 한없이 빛나던 너의 모습 그려본다 흐려진 하늘의 별빛처럼 가려진 새벽의 온기처럼 나 아름다운 이곳에 머물다 너를 비추는 밤이 되길 떠나간 시간에 뒷모습만 지나간 추억에 한 걸음만 나 언젠가 그 순간에 머물다 너의 마음속에 빛이 되길 아름답게 따스한 봄의 노래에 조심스레 감던 눈 어두운 밤 내 품에 안던 작은 널 닮은 별 하나 한참을 뒤척이다 잠든 날 보며 미소 짓던 한없이 빛나던 너의 꿈을 그려본다 흐려진 하늘의 별빛처럼 가려진 새벽의 온기처럼 나 아름다운 이곳에 머물다 너를 비추는 밤이 되길 떠나간 시간에 뒷모습만 지나간 추억에 한 걸음만 나 언젠가 그 순간에 머물다 너의 마음속에 빛이 되길 까맣게 타버린 내 안에 숨 쉬던 조각난 기억들을 붙잡고 멀어져만 가는 너의 그 모습을 멍하니 바라보며 멈춰있다 나 아름다운 이곳에 머물다 너를 비추는 밤이 될게 떠나간 시간에 뒷모습만 지나간 추억의 한순간만 나 언젠간 네 두 손을 붙잡고 너의 마음속에 노래할게  ,20054,indifference
아이유,푸르던,2015-10-23, 그날 알았지 이럴 줄 이렇게 될 줄 두고두고 생각날 거란 걸 바로 알았지 까만 하늘 귀뚜라미 울음소리 힘을 주어 잡고 있던 작은 손 너는 조용히 내려 나의 가물은 곳에 고이고 나는 한참을 서서 가만히 머금은 채로 그대로 나의 여름 가장 푸르던 그 밤 그 밤 너의 기억은 어떨까 무슨 색일까 너의 눈에 비친 내 모습도 소중했을까 머리 위로 연구름이 지나가네 그 사이로 선바람이 흐르네 너는 조용히 내려 나의 가물은 곳에 고이고 나는 한참을 서서 가만히 머금은 채로 그대로 나의 여름 가장 푸르던 빗소리가 삼킨 사랑스런 대화 조그맣게 움을 트는 마음 그림처럼 묽게 번진 여름 안에 오로지 또렷한 너 너는 조용히 내려 나의 가물은 곳에 고이고 나는 한참을 서서 가만히 머금은 채로 그대로 나의 여름 가장 푸르던 그 밤 그 밤 그날 알았지 이럴 줄  ,153991,indifference
이안,물고기자리,2004-05-06,혹시 그대가 어쩌다가 사랑에 지쳐 어쩌다가 어느 이름모를 낯선 곳에 날 혼자두진 않겠죠 비에 젖어도 꽃은 피고 구름가려도 별은 뜨니 그대에게 애써 묻지않아도 그게 사랑인걸 믿죠 저기 하늘끝에 떠 있는 별처럼 해뜨면 사라지는 그런 나 되기 싫어요 사랑한다면 저 별처럼 항상 거기서 빛을 줘요 그대 눈부신 사랑에 두눈 멀어도 돼 하늘에 박힌 저 별처럼 당신의 아픔으로 묶여 움직일 수가 없지만 난 변하지 않을테니 작은 꽃잎위에 맺힌 이슬처럼 해뜨면 사라지는 그런 나 되기 싫어요 사랑한다면 저 별처럼 항상 거기서 빛을 줘요 그대 눈부신 사랑에 두눈 멀어도 돼 하늘에 박힌 저 별처럼 당신의 아픔으로 묶여 움직일 수가 없지만 난 변하지 않을테니 비에 젖어도 꽃은 피고 구름가려도 별은 뜨니 묻지 않아도 난 알아요 그대 내 사랑인 걸 작은 꽃잎에 이슬처럼 저기 하늘끝 저 별처럼 다시 해뜨면 사라지는 내가 되기 싫어요 변하지 않을테니 ,27749,indifference
태연 (TAEYEON),Ending Credits,2022-02-14,긴 여운 속에서 멍하니 난 스쳐 지나는 시간을 흘려보내 그 누구도 없는 이 극장 안에 난 계속 남아 자릴 지켰지 수없이 반복한 영화 속에 참 오래 웃고 또 울었었지 하지만 덤덤한 나를 보니 이제 완전히 다 끝인 것 같아 기나긴 엔딩에 가슴이 저릿해 흐린 불빛에 널 다시 추억해 난 믿었어 우리가 함께 할 Ending credits Ending credits The credits 결국 너 없이 남겨진 내 이름 Ending credits Ending credits The credits 깊은 어둠 속 새겨진 내 이름 Ending credits 막이 내린 뒤로 비친 네게 그 어떤 인사도 하지 못해 빛이 바랜 스틸 컷은 남겨둔 채 이제 영원히 널 보내주려 해 완벽한 엔딩에 텅 빈 듯 아련해 꺼진 조명에 마음을 비워내 난 믿었어 우리가 함께 할 Ending credits Ending credits The credits 결국 너 없이 남겨진 내 이름 Ending credits Ending credits The credits 온 맘 다해 사랑했던 지난 시간은 잊고 난 이제 떠나 내 이야길 다시 찾으러 넌 너의 자리에서 행복하기를 바라 우리 마침내 맞이한 끝처럼 Ending credits Ending credits The credits 아주 긴 시간 함께한 우리의 Ending credits Ending credits The credits 이제 새롭게 시작될 나만의 Ending credits,16391,indifference
임영웅,아버지,2022-05-02, 하얀 머리 뽑아 달라며 한 개 백 원이라던 그 시절 다 지나가고 이젠 흰 눈만 남았네 그렇게도 힘이 드냐며 나를 위로하시다 어느새 잠들어버린 주름만 남은 내 아버지 세상이 아무리 힘들어도 당신 있으면 견딜 것 같아 오래오래 날 지키며 그냥 곁에만 있어 주세요 활짝 웃는 모습이 어린애 같아 보여도 아프다 말도 못 하는 사람 이제는 내가 지켜줄게 어린아이로 돌아가 버린 사랑하는 내 아버지 오래오래 날 지키며 그냥 곁에만 있어 주세요 활짝 웃는 모습이 어린애 같아 보여도 아프다 말도 못 하는 사람 이제는 내가 지켜줄게 어린아이로 돌아가 버린 사랑하는 내 아버지 사랑해요 내 아버지  ,40504,indifference
정승수,되돌릴 수 없는 이별을 해,2021-01-10,혼자 집에 걸어가는 길이 어색해 우리 예전처럼 함께 걷던 그 날이 무색해질 만큼 변한 걸까 그게 어제처럼 선명한데 어느새 우린 멀어져 가는 걸까 혼잣말로 버릇처럼 건넨 인사에 아무 대답 없는 거릴 걷다 불어온 차가운 공기에 수없이 흔들리던 맘 이젠 견딜 수가 없을 만큼 아파서 되돌릴 수 없는 이별을 해 이젠 끝난 거잖아 서로 다른 길을 걷잖아 그게 이별이잖아 아무것도 아닌 게 될까 봐 너를 놓아주려 해 근데 그게 맘처럼 쉽게 되지가 않아서 어디서부터 놓아줘야 우리 아름다운 이별을 준비할 수 있을까 하루 종일 이별 앞에 서서 생각해 아직 모든 게 난 두려운데 이런 게 마지막인가 봐 그때는 당연했던 게 나 이젠 혼자 견뎌야 한다는 게 더 아프잖아 되돌릴 수 없는 이별을 해 이젠 끝난 거잖아 다시 오지 않을 너라는 걸 잘 알고 있잖아 이렇게 우리 헤어지면 다시 아름다운 인연을 준비할 수 있을까 끝난 걸 알면서도 나는 널 보고 싶어서 더 미칠 것 같아 혹시라도 우리 마주치면 그냥 모른척해 줘 그래야 내가 널 잊고 살 수 있을 것 같아서 이렇게 우리 헤어져야 다시 아름다운 인연을 준비할 수 있겠지 우리 이제는 되돌릴 수 없잖아 ,878,indifference
펀치 (Punch),헤어지는 중,2018-09-12,나를 사랑하나요 같은 곳을 보나요 이미 알고 있어요 아닌 걸 알죠 배우지 않았어도 이별은 알 수 있죠 사랑은 늘 더딘데 이별은 서둘러 오네요 너와 사랑했던 이 거리가 나를 눈물짓게 만들어 더 사랑한 사람이 원래 더 아파 노래처럼 다신 누구도 사랑하지마 결국 나만큼 아플테니 그땐 내가 없어 이젠 끝이야 안녕 찬 바람이 불어와 코 끝이 붉어지면 슬픈 노래를 불러 내가 젤 잘하는 거니까 내게 혼자 하는 사랑이란 나를 더 아프게 만들죠 이젠 내게 솔직해져야 해 끝내 난 너에게 슬픈 안녕을 말해야겠어 너를 그 자리에 두고서 나의 사랑 안녕 이젠 그대여 안녕 다시 돌아오지는마 같은 상처를 받기 너무 두려우니까 널 여전히 사랑해 가끔 널 생각해 생각해 우연히 만나면 그냥 모른 척 지나가줄래 나도 널 지운 척 할테니 이미 끝난 사랑 다시 안할래 안녕 ,125919,indifference
백예린 (Yerin Baek),그럴때마다,2021-09-10,반복된 하루 사는 일에 지칠 때면 내게 말해요 항상 그대의 지쳐있는 마음에 조그만 위로 돼줄게요 요즘 유행하는 영화 보고플 땐 내게 말해요 내겐 그대의 작은 부탁조차도 조그만 행복이죠 아무런 약속도 없는 일요일 오후 늦게 잠에서 깨 이유 없이 괜히 서글퍼질 땐 그대 곁엔 세상 누구보다 그댈 이해하는 내 자신보다 그댈 먼저 생각하는 사람이 있죠 오랫동안 항상 지켜왔죠 그대 빈자리 이젠 들어와 편히 쉬어요  혼자서 밥 먹기 싫을 땐 다른 사람 찾지 말아요 내겐 그대의 짜증 섞인 투정도 조그만 기쁨이죠 아무런 약속도 없는 일요일 오후 누군가 만나서 하루 종일 거릴 걷고 싶을 땐 그대 곁엔 세상 누구보다 그댈 이해하는 내 자신보다 그댈 먼저 생각하는 사람이 있죠  오랫동안 항상 지켜왔죠 그대 빈자리 이젠 들어와 편히 쉬어요,33255,indifference
Collective Arts (콜렉티브아츠),나의 그늘,2017-07-27,나의 그늘이 좋다고 하는 너에게 무슨 말을 해야 좋을까 이 순간에도 가난한 나의 마음인데도 넌 왜 웃어 보일까 미운 말을 쏟아내 상처 주긴 쉬운데 넌 왜 아직 거기 서 있는데 해는 뜨지 않는데 내게 기댄 너는 나의 그늘이 좋대 어둠이 내리고 모두 떠나가도 가깝지 않은 곳 어디에서 너는 나의 믿음이 되어 미운 말을 쏟아내 상처 주긴 쉬운데 넌 왜 아직 거기 서 있는데 해는 뜨지 않는데 내게 기댄 너는 나의 그늘이 좋대 아 나의 그늘이 나의 그늘이 아 나의 그늘이 나의 그늘이 ,4344,indifference
Sondia,Moonlight,2019-12-31,Moonlight 나를 감싸안아 데려다줘 그럼 너의 온기를 간직하겠어 내가 어디에 숨어있든 다시 날 찾아줘 보기좋게 비껴나온 날 너의 빛으로 비춰줘 내 모든 발자욱과 내 창문 밖에 남은 너와 나의 흔적들 내 모든 것들이 다 그대로 남아 다시 날 채우네 Moonlight 내가 힘이 들 때 찾아와줘 그럼 네 빛을 따라 걸어가겠어 내가 어디에 숨어있든 다시 날 찾아줘 보기좋게 비껴나온 날 너의 빛으로 비춰줘 내 모든 발자욱과 내 창문 밖에 남은 너와 나의 흔적들 내 모든 것들이 다 그대로 남아 다시 날 채우네 ,4461,indifference
윤현상,잊는다는 게,2015-03-13,잊는다는 게 참 그래요 사랑하다가 이별하게 되면 그때서야 못해줬던 게 생각이 나요 꼭 어제 일처럼 추억이란 게 참 그래요 분명 내 맘속엔 아직 남아있는데 지나가면 없었던 일로 해버리는 게 속 편할 때가 있겠죠 잊는다는 게 왜 이리 힘들죠 함께했었던 그 시간 때문일까요 새로운 사람을 만나서 행복해지면 되는 간단한 일인데 왜 그리 어렵죠 잊는다는 게 이별이란 게 참 그래요 지키지 못한 약속들이 전부 내게 거짓말이 돼 버린단 게 내가 이기적인 게 돼버리니까 잊는다는 게 왜 이리 힘들죠 함께했었던 그 시간 때문일까요 새로운 사람을 만나서 행복해지면 되는 간단한 일인데 왜 그리 어렵죠 잊는다는 게 지금 생각나는 모든 것들이 어쩌면 다시는 또 오지 못할 기억에 묻힌 날들 행복했었던 날들 이젠 잊어야겠지 모두 잊어야겠지 가끔 생각이 날 때가 있겠죠 그댈 만나서 그 동안 행복했어요 새로운 사람을 만나도 그댄 잊지 말아요 이제는 끝인 게 왜 그리 어렵죠 왜 그리 힘들죠 잊는다는 게 ,29999,indifference
정승환,숲으로 걷는다,2016-11-29,숲으로 걷는다 미안하단 말 대신 천천히 걷는다 기억의 너와 나란히 걷는다 아무 말 못하고 쳐다만 보는 널 뒤로 한 채 정신 없이 도망치는 철없던 내가 또 떠올라서 지우고 지워도 변한 게 없는 그때의 내 모습 숲으로 걷는다 내 빈 가슴을 채운다 천천히 걷는다 추억의 길을 혼자서 걷는다 이제 다 끝났어 혼자서 그렇게 말해본다 시간 속을 되 돌아가 달려가 꿈처럼 널 안고 싶지만 알아 너도 이제 다 잊었겠지 모든 게 변했지 숲으로 걷는다 보고 싶단 말 대신 천천히 걷는다 기억의 너와 나란히 걷는다 잊혀진 널 다시 만나러 ,7894,indifference
문빛,끝자락,2017-11-02,다 알고 있었어 저 별이 지고 나면 말이야 애써 아무렇지 않은 척 또 난 예전 같진 않았어 보고 싶다는 너의 말이 내가 알던 네 모습이 낯설게 느껴져 하루만 더 또 하루만 더 혹시나 한번 오늘 어쩌면 아무 말도 할 수 없었어 멈춰진 너의 오늘은 더 이상 내가 노력해도 변하지 않을 걸 알아 멀어지는 너의 손을 내가 잡아도 될까 네가 없이 견딜 수 있을까 예전 같진 않았어 사랑한다는 너의 말이 내가 알던 네 모습이 낯설게 느껴져 하루만 더 또 하루만 더 혹시나 한번 오늘 어쩌면 네가 돌아와 주길 아무 말도 할 수 없었어 멈춰진 너의 오늘은 더 이상 내가 노력해도 변하지 않을 걸 알아 멀어지는 너의 손을 내가 잡아도 될까 네가 없이 견딜 수 있을까 이제 와서 뭘 어떻게 할 수 있을까 미뤄둔 그 말을 오늘은 해야 할까 말할 수 있을까 아무 말도 할 수 없었어 남겨진 나의 내일은 더 이상 내가 노력해도 변하지 않을 걸 알아 멀어지는 너의 손을 내가 잡아도 될까 네가 없이 견딜 수 있을까 ,1773,indifference
